station_token,horizon_d,event_era,is_weekend,missing_count,q_1d_bin,q_mean_7d_bin,q_std_7d_bin,q_mean_30d_bin,q_std_30d_bin,q_min_30d_bin,q_max_30d_bin,logq_1d_bin,dlogq_1d_bin,abs_dlogq_mean7_bin,flashiness_7d_bin,q_missing_30d_bin,month_bin,dayofyear_bin,slice_lowflow,target_rapid_surge_next,row_id
89606b98d91b,7,0,0,0,10,9,8,9,9,9,9,10,9,4,4,1,11,10,0,0,4271343658577
4e9a08ea6a04,3,1,0,0,4,4,5,4,4,3,4,4,11,10,10,1,2,2,0,0,10049466770519
6d697f14bc8e,7,1,0,0,10,10,10,10,9,10,9,10,9,5,5,1,3,3,0,0,15160025145407
88c5daebbe7a,3,1,0,0,5,6,3,5,4,6,5,5,2,4,5,1,11,11,0,0,24574324580505
b7c0806de860,7,0,0,0,9,8,8,9,9,9,9,9,8,4,4,1,9,9,0,0,25013734066647
609de232a4d4,7,0,0,0,4,5,5,5,4,6,5,4,0,9,9,1,3,3,0,0,28770312464458
6d697f14bc8e,7,0,1,0,10,10,9,10,9,9,9,10,4,3,3,1,2,2,0,0,39421307657139
1404ea258012,7,2,1,0,11,11,11,11,11,11,11,11,11,7,6,1,4,4,0,0,60439663679237
54bdd761dc96,3,1,0,0,7,7,4,8,9,8,8,7,7,1,1,1,0,0,0,0,64149386652731
748d7819e37e,3,2,0,0,1,1,1,1,1,2,1,1,7,2,2,1,3,3,0,0,73961728701829
d2a09753fb88,3,0,0,0,5,6,5,5,5,5,5,5,1,7,7,1,9,9,0,0,84394517672057
117bd0e19e2a,7,1,0,0,3,3,5,5,5,4,5,3,10,10,11,1,11,11,0,0,93039690468848
95b9d4fe1271,7,2,0,0,2,2,2,2,3,4,3,2,4,7,9,1,7,7,0,0,103835723634111
5a95829744b6,3,1,0,0,6,6,7,7,7,7,6,6,1,8,8,1,8,8,0,0,107179425314478
95b9d4fe1271,3,0,0,0,3,2,2,2,1,4,2,3,3,3,3,1,4,4,0,0,107898690099291
ef34da8c2c0d,7,2,1,0,3,3,4,4,4,4,4,3,0,11,11,1,11,10,0,0,115466680951566
ec691497ec28,3,1,0,0,8,8,8,8,7,8,7,8,3,3,3,1,6,6,0,0,116094038919570
043b694d9c5e,3,0,1,0,3,2,3,3,3,1,3,3,11,11,10,1,11,10,0,0,117586014075246
56c9efc58838,7,2,1,0,8,8,6,8,6,9,7,8,4,2,2,1,7,7,0,0,119555252536856
043b694d9c5e,7,1,0,0,5,3,3,3,2,5,3,5,10,6,6,1,3,2,0,0,145046163743719
ae58d21b0db5,3,1,0,0,2,3,4,3,2,4,2,2,0,10,11,1,8,8,1,1,145151942582416
748d7819e37e,3,0,1,0,2,2,2,2,1,4,1,2,9,2,2,1,1,0,0,0,218634628447505
44451e6362f6,7,0,0,0,3,4,5,4,4,4,4,3,0,10,10,1,3,3,0,0,220916252514085
d2a09753fb88,7,0,1,0,6,5,7,6,7,1,6,6,10,11,11,1,7,7,0,0,225819448995310
748d7819e37e,3,2,0,0,1,1,1,1,1,2,1,1,6,1,1,1,11,10,0,0,256080260047881
7b281033e46b,3,1,0,0,10,10,9,10,9,10,9,10,10,5,5,1,3,3,0,0,262762118279734
54bdd761dc96,7,2,0,0,7,7,8,7,8,1,7,7,1,6,6,1,9,9,0,0,263853451171145
e0b4f7b875db,3,0,0,0,1,0,1,2,5,1,4,1,6,1,1,1,8,8,0,1,272249556327271
44c3d411b9d0,3,1,0,0,2,2,2,2,2,3,1,2,3,3,3,1,5,5,0,0,273224672555436
89606b98d91b,7,1,0,0,9,9,9,9,8,9,8,9,10,4,4,1,7,7,0,0,282657055990325
1ef64aab5c17,7,1,0,0,10,10,9,10,8,10,9,10,5,3,3,1,6,6,0,0,288007811761941
1404ea258012,3,1,0,0,11,11,11,11,11,11,11,11,6,5,5,1,4,4,0,0,290777712253397
25827051ce85,3,0,1,0,11,11,11,11,11,11,11,11,10,8,8,1,9,9,0,0,325438166422976
ecaee3d1008f,3,2,1,0,1,1,1,0,1,2,1,1,6,1,1,1,4,3,0,0,336457708831829
043b694d9c5e,3,0,0,0,3,3,3,3,3,1,3,3,0,9,10,1,6,6,0,0,336817055868802
ec691497ec28,7,0,0,0,8,8,7,8,7,9,8,8,7,2,2,1,6,5,0,0,353718392937315
fd98e5d506f4,3,1,0,0,5,4,5,5,5,3,5,5,2,11,11,1,5,4,0,0,364571843802263
ef34da8c2c0d,7,2,0,0,4,4,5,4,4,3,4,4,0,10,10,1,7,7,0,0,371503968487932
ec691497ec28,7,2,0,0,8,7,7,7,7,8,7,8,3,2,2,1,2,1,1,0,383273196222007
5a95829744b6,7,1,0,0,7,7,7,7,7,5,7,7,2,6,6,1,4,3,0,0,389499407702236
fd98e5d506f4,7,1,0,0,5,4,4,4,3,3,3,5,11,11,11,1,11,11,0,0,391744010113344
ec691497ec28,7,2,0,0,8,8,7,8,7,9,7,8,4,3,3,1,5,5,0,0,408609880771073
ef34da8c2c0d,7,1,0,0,4,3,5,4,4,4,3,4,11,11,11,1,11,11,0,0,411687314277470
95b9d4fe1271,3,1,1,0,2,2,1,2,1,4,1,2,8,1,1,1,9,9,1,0,429607413345059
609de232a4d4,7,2,1,0,5,5,4,5,4,6,4,5,1,9,9,1,3,3,1,0,443118151667489
44451e6362f6,7,1,1,0,4,4,5,4,4,5,4,4,0,10,10,1,2,2,0,0,448867411192067
95b9d4fe1271,7,2,0,0,2,2,1,1,1,3,1,2,7,1,1,1,8,8,1,0,450326345115719
54bdd761dc96,3,1,0,0,1,6,8,7,8,1,7,1,6,11,11,1,2,2,0,0,452723998716508
117bd0e19e2a,7,2,0,0,6,5,5,5,5,5,5,6,11,9,9,1,11,10,0,0,488019648780184
5a95829744b6,3,1,0,0,7,6,7,6,7,6,6,7,4,10,9,1,5,5,0,0,491332230759197
88c5daebbe7a,3,2,0,0,4,4,4,4,4,2,4,4,1,10,10,1,6,6,1,0,495823485742451
fd98e5d506f4,3,1,0,0,4,5,7,5,6,3,5,4,11,11,11,1,3,3,0,0,496185824250081
ef34da8c2c0d,3,1,0,0,5,4,5,5,4,4,4,5,1,11,11,1,11,11,0,0,499532676812935
54bdd761dc96,3,1,0,0,8,8,9,8,8,8,8,8,2,6,6,1,8,8,0,0,503094731799038
bed96b6743fa,3,0,1,0,1,0,1,0,0,1,0,1,6,1,1,1,7,7,1,0,510822589022177
54bdd761dc96,3,0,0,0,8,8,8,8,8,9,8,8,1,6,6,1,6,6,0,0,511922926185065
72e6d542f7e1,7,1,0,0,11,11,10,11,11,11,11,11,8,4,4,1,2,2,0,0,513582878504361
406ae854b991,3,1,1,0,1,1,2,0,1,1,1,1,6,3,3,1,7,7,0,1,526553558152815
609de232a4d4,7,0,1,0,6,6,5,6,5,6,6,6,1,8,8,1,9,9,0,0,527068159986717
56c9efc58838,3,1,0,0,8,8,8,7,7,8,7,8,10,4,4,1,6,6,1,0,531697089730104
7b281033e46b,7,2,0,0,9,9,9,8,8,8,8,9,10,5,5,1,6,6,1,0,533209264544502
95b9d4fe1271,3,0,0,0,2,2,2,3,7,4,7,2,3,2,2,1,6,6,0,0,555351208314434
117bd0e19e2a,7,1,1,0,5,5,6,5,4,5,5,5,11,11,11,1,11,10,0,0,555673804510228
caf2a2a8004c,7,1,0,0,11,11,11,11,11,11,11,11,9,3,3,1,2,2,0,0,562450542310274
54bdd761dc96,7,2,1,0,6,7,9,7,8,1,7,6,0,11,11,1,6,6,1,0,571032075444977
1404ea258012,3,1,1,0,10,11,11,11,11,10,11,10,0,7,7,1,8,8,0,0,594096119447580
89606b98d91b,7,2,1,0,9,9,8,9,10,9,10,9,7,3,3,1,9,9,0,0,594223687907111
6d697f14bc8e,3,0,0,0,8,8,9,9,9,8,9,8,0,7,7,1,11,10,0,1,596968782660991
fd98e5d506f4,3,0,0,0,2,4,4,3,3,2,3,2,0,9,10,1,11,11,0,0,618519220239374
25827051ce85,3,0,0,0,10,11,11,11,11,11,11,10,1,5,6,1,0,0,1,0,628311197182956
5a95829744b6,7,1,0,0,6,7,8,7,7,5,7,6,1,7,7,1,4,4,0,0,634597952969109
